FunctionID_f,AvgServiceTimeMillisec,Invocations30Days
1260,2002,5
1261,1033,1
1262,1434,3
1263,1812,288
1264,746,1
1265,38,2
1266,1,1
1267,1,1
1268,1,1
1269,1,1
1270,345,3
1271,1282,288
1272,60300,1
1273,11,86398
1274,1187,1
1275,15,1
1276,251,288
1277,21327,720
1278,53,9
1279,957,960
1280,1149,1
1281,489,13
1282,909,9
1283,159,277
1284,3007,2
1285,85,1440
1286,1288,24
1287,4563,1
1288,102925,1
1289,16436,96
1290,396,120
1291,230,1440
1292,14163,1
1293,14,109087
1294,16,4
1295,1081,162
1296,1,1440
1297,24897,116
1298,307,1090
1299,4094,8
1300,1224,159
1301,129,1
1302,225,27
1303,153,6
1304,1,288
1305,13609,3207
1306,13183,24
1307,1,284
1308,179556,5
1309,1,1440
1310,1205,288
1311,1,1440
1312,1,1
1313,16,480
1314,16,720
1315,2,288
1316,1026,160
1317,110,266
1318,445,1
1319,12727,2
1320,1188,480
1321,8461,1
1322,101,83
1323,12862,1
1324,1,1
1325,3546,1
1326,1587,288
1327,1,225
1328,2019,288
1329,50345,288
1330,14027,1
1331,275,24
1332,1180,15
1333,118,360
1334,1,289
1335,1250,1
1336,123,50753
1337,1866,68
1338,4884,24
1339,1067,24
1340,29,5
1341,102,7
1342,4880,24
1343,72746,23
1344,1,288
1345,1174,1
1346,706,288
1347,1781,1
1348,44,2880
1349,14,2
1350,4737,48
1351,1825,24
1352,1338,1
1353,2086,1
1354,8509,78
1355,1115,2
1356,599,21
1357,1687,1
1358,17,1440
1359,31,1
1360,6997,5
1361,2393,237
1362,10580,9
1363,1545,1
1364,10663,3
1365,59224,1
1366,15,32388
1367,18,1
1368,136808,2
1369,2419,2
1370,2707,1
1371,8084,196
1372,612,12
1373,1733,96
1374,880,1
1375,1,1
1376,32,1
1377,13,80
1378,26,288
1379,3959,1
1380,17,1
1381,1514,288
1382,1022,15
1383,1404,722
1384,9109,1
1385,84,360
1386,1,2
1387,18,3
1388,129,288
1389,1136,11
1390,486,1
1391,150,465
1392,1113,288
1393,1248,1
1394,696,2
1395,1,1
1396,3068,1524
1397,2849,1
1398,1006,1
1399,11161,1
1400,866,288
1401,46,1
1402,10,1
1403,407,10
1404,44,70969
1405,234,1
1406,1,11481
1407,13,1
1408,1267,1
1409,155,15
1410,68342,23
1411,335,288
1412,524,28
1413,19,1
1414,6049,1
1415,1,288
1416,131,1440
1417,154,14
1418,1213,24
1419,379,48
1420,37491,23
1421,468,82
1422,10,17
1423,1066,1
1424,38,2186
1425,1485,1
1426,526,1
1427,1427,1
1428,68,1440
1429,12180,10
1430,3333,1
1431,607,150
1432,68,296
1433,267439,106
1434,1,1
1435,114703,217
1436,140,288
1437,378,2304
1438,1289,1
1439,1173,16
1440,1350,1
1441,147,8
1442,1042,1
1443,1151,1
1444,105,288
1445,701,1
1446,4541,1
1447,1123,288
1448,710,1
1449,8868,4593
1450,133,9
1451,15,1
1452,1,1
1453,1746,11
1454,6,267
1455,81,288
1456,12153,24
1457,10327,6
1458,376,2
1459,115,2558
1460,1002,288
1461,991,1
1462,23,2
1463,1,11467
1464,207,1440
1465,11732,43
1466,3581,1
1467,3078,1
1468,1200,1019
1469,140,1
1470,253,288
1471,121,1
1472,92880,144
1473,324,96
1474,3995,24
1475,1,4321
1476,2673,32
1477,1156,1
1478,11487,24
1479,279,394
1480,167,360
1481,1210,144
1482,39596,3
